TStamp Europe/Zagreb	X [µT]	Y [µT]	Z [µT]
1613949339005	-15.710000	-19.139999	-33.959999
1613949339025	-15.540000	-18.950001	-34.139999
1613949339045	-15.660000	-19.190001	-33.889999
1613949339066	-15.540000	-18.900000	-34.200001
1613949339086	-15.480000	-19.080000	-34.250000
1613949339106	-15.480000	-19.430000	-33.889999
1613949339126	-15.170000	-19.500000	-33.840000
1613949339146	-14.940000	-19.790001	-33.660000
1613949339166	-14.820000	-20.400000	-33.410000
1613949339186	-14.940000	-20.580000	-33.410000
1613949339206	-14.640000	-20.450001	-33.590000
1613949339226	-14.460000	-20.400000	-33.410000
1613949339246	-14.640000	-20.160000	-33.410000
1613949339265	-14.750000	-20.270000	-33.299999
1613949339286	-14.940000	-20.400000	-33.360001
1613949339305	-15.170000	-20.270000	-33.590000
1613949339326	-15.420000	-19.850000	-33.540001
1613949339346	-15.170000	-19.790001	-33.590000
1613949339366	-15.170000	-19.790001	-33.590000
1613949339386	-15.480000	-19.980000	-33.410000
1613949339406	-15.420000	-19.850000	-33.299999
1613949339426	-15.360000	-19.850000	-33.540001
1613949339446	-15.240000	-19.850000	-33.299999
1613949339465	-15.120000	-19.850000	-33.360001
1613949339485	-15.240000	-19.850000	-33.410000
1613949339505	-15.420000	-19.850000	-33.590000
1613949339525	-15.420000	-19.740000	-33.590000
1613949339545	-15.420000	-19.740000	-33.540001
1613949339565	-15.420000	-19.980000	-33.360001
1613949339586	-15.360000	-19.559999	-33.230000
1613949339606	-15.480000	-19.500000	-33.000000
1613949339625	-15.660000	-19.500000	-32.750000
1613949339645	-15.540000	-19.790001	-32.639999
1613949339665	-15.540000	-19.740000	-32.340000
1613949339686	-15.830000	-19.850000	-32.209999
1613949339706	-15.960000	-20.030001	-32.459999
1613949339726	-16.020000	-20.030001	-32.459999
1613949339746	-16.080000	-20.450001	-32.639999
1613949339766	-16.080000	-20.400000	-32.750000
1613949339786	-16.080000	-20.270000	-32.700001
1613949339806	-15.830000	-20.100000	-32.750000
1613949339826	-15.780000	-19.850000	-33.119999
1613949339846	-15.710000	-19.850000	-33.230000
1613949339866	-15.660000	-19.740000	-33.360001
1613949339886	-15.660000	-19.740000	-33.660000
1613949339906	-15.660000	-19.500000	-33.540001
1613949339926	-15.710000	-19.680000	-33.590000
1613949339945	-15.660000	-19.790001	-33.660000
1613949339965	-15.830000	-19.680000	-33.709999
1613949339985	-16.020000	-19.790001	-33.410000
1613949340005	-16.020000	-19.559999	-33.299999
1613949340026	-15.830000	-19.370001	-33.000000
1613949340046	-15.780000	-19.260000	-33.119999
1613949340066	-15.830000	-19.260000	-33.410000
1613949340086	-16.020000	-19.190001	-33.540001
1613949340105	-16.020000	-19.080000	-33.709999
1613949340125	-16.020000	-19.430000	-33.590000
1613949340145	-16.080000	-19.370001	-33.709999
1613949340165	-16.139999	-19.500000	-33.660000
1613949340186	-16.370001	-19.740000	-33.660000
1613949340206	-16.610001	-19.559999	-33.410000
1613949340226	-16.740000	-19.370001	-33.410000
1613949340245	-16.440001	-19.080000	-33.540001
1613949340265	-16.610001	-19.080000	-33.299999
1613949340285	-16.610001	-18.840000	-33.410000
1613949340305	-16.559999	-18.770000	-33.230000
1613949340325	-16.680000	-18.530001	-33.410000
1613949340346	-16.740000	-18.290001	-33.660000
1613949340365	-16.610001	-18.660000	-33.590000
1613949340385	-16.320000	-18.840000	-33.410000
1613949340405	-16.320000	-19.080000	-33.230000
1613949340425	-16.370001	-18.900000	-33.299999
1613949340445	-16.370001	-18.770000	-33.540001
1613949340465	-16.370001	-18.840000	-33.590000
1613949340486	-16.260000	-18.900000	-33.540001
1613949340506	-16.320000	-18.950001	-33.299999
1613949340525	-16.320000	-18.770000	-33.410000
1613949340545	-16.370001	-18.600000	-33.410000
1613949340565	-16.559999	-18.600000	-33.590000
1613949340585	-16.610001	-18.600000	-33.660000
1613949340605	-16.740000	-18.840000	-33.360001
1613949340625	-16.920000	-18.840000	-33.360001
1613949340646	-16.980000	-18.840000	-33.540001
1613949340666	-16.980000	-19.080000	-33.660000
1613949340686	-16.920000	-19.190001	-33.660000
1613949340705	-17.160000	-19.370001	-33.709999
1613949340725	-17.209999	-19.190001	-33.840000
1613949340745	-16.980000	-19.430000	-33.410000
1613949340765	-16.920000	-19.370001	-33.590000
1613949340786	-16.740000	-19.430000	-33.709999
1613949340806	-16.920000	-19.430000	-33.660000
1613949340826	-16.740000	-19.139999	-33.709999
1613949340846	-16.920000	-18.770000	-33.840000
1613949340866	-16.680000	-18.660000	-33.840000
1613949340885	-16.440001	-18.840000	-33.660000
1613949340905	-16.610001	-18.600000	-33.959999
1613949340925	-16.680000	-18.350000	-33.889999
1613949340945	-16.680000	-18.530001	-33.889999
1613949340966	-16.610001	-18.600000	-33.889999
1613949340986	-16.610001	-18.530001	-33.840000
1613949341006	-16.680000	-18.840000	-33.590000
1613949341026	-16.920000	-18.600000	-33.709999
1613949341046	-16.980000	-18.840000	-33.709999
1613949341066	-16.920000	-18.950001	-33.590000
1613949341085	-16.920000	-19.080000	-33.660000
1613949341105	-16.740000	-18.660000	-33.709999
1613949341125	-16.850000	-18.600000	-33.709999
